cell_idx,format,algo,canon_name,run_id
203,gf12,sgdm,IGLA-SHORT-WAVE-MATRIX-gf12-h128-LR0.0001-rng1597-sgdm,wave-a-cell-203
204,gf12,lion,IGLA-SHORT-WAVE-MATRIX-gf12-h128-LR0.0001-rng1597-lion,wave-a-cell-204
205,gf12,lamb,IGLA-SHORT-WAVE-MATRIX-gf12-h128-LR0.0001-rng1597-lamb,wave-a-cell-205
206,gf12,soap,IGLA-SHORT-WAVE-MATRIX-gf12-h128-LR0.0001-rng1597-soap,wave-a-cell-206
207,gf12,shampoo,IGLA-SHORT-WAVE-MATRIX-gf12-h128-LR0.0001-rng1597-shampoo,wave-a-cell-207
208,gf12,prodigy,IGLA-SHORT-WAVE-MATRIX-gf12-h128-LR0.0001-rng1597-prodigy,wave-a-cell-208
209,gf20,adamw,IGLA-SHORT-WAVE-MATRIX-gf20-h128-LR0.0001-rng1597-adamw,wave-a-cell-209
210,gf20,muon,IGLA-SHORT-WAVE-MATRIX-gf20-h128-LR0.0001-rng1597-muon,wave-a-cell-210
211,gf20,sgdm,IGLA-SHORT-WAVE-MATRIX-gf20-h128-LR0.0001-rng1597-sgdm,wave-a-cell-211
212,gf20,lion,IGLA-SHORT-WAVE-MATRIX-gf20-h128-LR0.0001-rng1597-lion,wave-a-cell-212
213,gf20,lamb,IGLA-SHORT-WAVE-MATRIX-gf20-h128-LR0.0001-rng1597-lamb,wave-a-cell-213
214,gf20,soap,IGLA-SHORT-WAVE-MATRIX-gf20-h128-LR0.0001-rng1597-soap,wave-a-cell-214
215,gf20,shampoo,IGLA-SHORT-WAVE-MATRIX-gf20-h128-LR0.0001-rng1597-shampoo,wave-a-cell-215
216,gf20,prodigy,IGLA-SHORT-WAVE-MATRIX-gf20-h128-LR0.0001-rng1597-prodigy,wave-a-cell-216
217,gf24,adamw,IGLA-SHORT-WAVE-MATRIX-gf24-h128-LR0.0001-rng1597-adamw,wave-a-cell-217
218,gf24,muon,IGLA-SHORT-WAVE-MATRIX-gf24-h128-LR0.0001-rng1597-muon,wave-a-cell-218
219,gf24,sgdm,IGLA-SHORT-WAVE-MATRIX-gf24-h128-LR0.0001-rng1597-sgdm,wave-a-cell-219
220,gf24,lion,IGLA-SHORT-WAVE-MATRIX-gf24-h128-LR0.0001-rng1597-lion,wave-a-cell-220
221,gf24,lamb,IGLA-SHORT-WAVE-MATRIX-gf24-h128-LR0.0001-rng1597-lamb,wave-a-cell-221
222,gf24,soap,IGLA-SHORT-WAVE-MATRIX-gf24-h128-LR0.0001-rng1597-soap,wave-a-cell-222
223,gf24,shampoo,IGLA-SHORT-WAVE-MATRIX-gf24-h128-LR0.0001-rng1597-shampoo,wave-a-cell-223
224,gf24,prodigy,IGLA-SHORT-WAVE-MATRIX-gf24-h128-LR0.0001-rng1597-prodigy,wave-a-cell-224
225,gf32,adamw,IGLA-SHORT-WAVE-MATRIX-gf32-h128-LR0.0001-rng1597-adamw,wave-a-cell-225
226,gf32,muon,IGLA-SHORT-WAVE-MATRIX-gf32-h128-LR0.0001-rng1597-muon,wave-a-cell-226
227,gf32,sgdm,IGLA-SHORT-WAVE-MATRIX-gf32-h128-LR0.0001-rng1597-sgdm,wave-a-cell-227
228,gf32,lion,IGLA-SHORT-WAVE-MATRIX-gf32-h128-LR0.0001-rng1597-lion,wave-a-cell-228
229,gf32,lamb,IGLA-SHORT-WAVE-MATRIX-gf32-h128-LR0.0001-rng1597-lamb,wave-a-cell-229
230,gf32,soap,IGLA-SHORT-WAVE-MATRIX-gf32-h128-LR0.0001-rng1597-soap,wave-a-cell-230
231,gf32,shampoo,IGLA-SHORT-WAVE-MATRIX-gf32-h128-LR0.0001-rng1597-shampoo,wave-a-cell-231
232,gf32,prodigy,IGLA-SHORT-WAVE-MATRIX-gf32-h128-LR0.0001-rng1597-prodigy,wave-a-cell-232
233,gf64,adamw,IGLA-SHORT-WAVE-MATRIX-gf64-h128-LR0.0001-rng1597-adamw,wave-a-cell-233
234,gf64,muon,IGLA-SHORT-WAVE-MATRIX-gf64-h128-LR0.0001-rng1597-muon,wave-a-cell-234
235,gf64,sgdm,IGLA-SHORT-WAVE-MATRIX-gf64-h128-LR0.0001-rng1597-sgdm,wave-a-cell-235
236,gf64,lion,IGLA-SHORT-WAVE-MATRIX-gf64-h128-LR0.0001-rng1597-lion,wave-a-cell-236
237,gf64,lamb,IGLA-SHORT-WAVE-MATRIX-gf64-h128-LR0.0001-rng1597-lamb,wave-a-cell-237
238,gf64,soap,IGLA-SHORT-WAVE-MATRIX-gf64-h128-LR0.0001-rng1597-soap,wave-a-cell-238
239,gf64,shampoo,IGLA-SHORT-WAVE-MATRIX-gf64-h128-LR0.0001-rng1597-shampoo,wave-a-cell-239
240,gf64,prodigy,IGLA-SHORT-WAVE-MATRIX-gf64-h128-LR0.0001-rng1597-prodigy,wave-a-cell-240
